iata_code,name,latitude_deg,longitude_deg,home_link
YEV,Inuvik Mike Zubko Airport,68.3041992188,-133.483001709,
YFA,Fort Albany Airport,52.2014007568359,-81.6968994140625,
YFB,Iqaluit Airport,63.756402,-68.555801,
YFC,Fredericton Airport,45.8689002990723,-66.5372009277344,
YFH,Fort Hope Airport,51.5619010925293,-87.9077987670899,
YFO,Flin Flon Airport,54.6781005859375,-101.681999206543,
YFS,Fort Simpson Airport,61.7602005004883,-121.236999511719,
YMN,Makkovik Airport,55.0769004821777,-59.1864013671875,
YGB,Texada Gillies Bay Airport,49.6941986083984,-124.517997741699,
YGH,Fort Good Hope Airport,66.2407989501953,-128.651000976563,
YGK,Kingston Norman Rogers Airport,44.2252998352051,-76.5969009399414,http://www.cityofkingston.ca/residents/transportation/airport/index.asp
YGL,La Grande Rivière Airport,53.625301361084,-77.7042007446289,
YGO,Gods Lake Narrows Airport,54.5588989257813,-94.4914016723633,
YGP,Gaspé (Michel-Pouliot) Airport,48.7752990723,-64.4785995483,
YGR,Îles-de-la-Madeleine Airport,47.4247016906738,-61.7780990600586,
YGT,Igloolik Airport,69.3647003174,-81.8161010742,
YGW,Kuujjuarapik Airport,55.2818984985352,-77.7652969360352,
YGX,Gillam Airport,56.3574981689453,-94.7106018066406,
YGZ,Grise Fiord Airport,76.4261016846,-82.9092025757,
YQC,Quaqtaq Airport,61.0463981628418,-69.6177978515625,
YHD,Dryden Regional Airport,49.8316993713379,-92.7442016601563,
YNS,Nemiscau Airport,51.6911010742188,-76.1355972290039,
YHI,Ulukhaktok Holman Airport,70.7628021240234,-117.805999755859,
YHK,Gjoa Haven Airport,68.635597229,-95.8497009277,
YHM,John C. Munro Hamilton International Airport,43.1735992432,-79.9349975586,http://www.flyhi.ca/
YHO,Hopedale Airport,55.448299407959,-60.2285995483399,
YHR,Chevery Airport,50.4688987731934,-59.6366996765137,
YHU,Montréal / Saint-Hubert Airport,45.5175018311,-73.4169006348,http://www.dashl.ca/
YHY,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,
YHZ,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,http://www.hiaa.ca/
YIK,Ivujivik Airport,62.4173011779785,-77.9253005981445,
YIO,Pond Inlet Airport,72.6832962036,-77.9666976929,
YIV,Island Lake Airport,53.8572006225586,-94.6536026000977,
YJT,Stephenville Airport,48.5442008972168,-58.5499992370606,
YKA,Kamloops Airport,50.7022018433,-120.444000244,
LAK,Aklavik/Freddie Carmichael Airport,68.223297,-135.00599,
YKF,Waterloo Airport,43.4608001709,-80.3786010742,http://www.waterlooairport.ca/
YWB,Kangiqsujuaq (Wakeham Bay) Airport,61.5886001587,-71.929397583,
YKL,Schefferville Airport,54.8053016662598,-66.8052978515625,
AKV,Akulivik Airport,60.8185997009277,-78.1485977172852,
YKQ,Waskaganish Airport,51.4733009338379,-78.75830078125,
YPJ,Aupaluk Airport,59.2966995239258,-69.5997009277344,
